time,edge_weight_89,edge_weight_810,edge_weight_811,edge_weight_812,edge_weight_813,edge_weight_914,edge_weight_915,edge_weight_916,edge_weight_917,edge_weight_918,edge_weight_1019,edge_weight_1020,edge_weight_1121,edge_weight_1122,edge_weight_1123,edge_weight_1224,edge_weight_1225,edge_weight_1326,edge_weight_1327
612,0,0,0,0,0,0,0,1892962,11,87,92,11,87,92,11,87,1893054,92,11
611,0,0,0,0,0,0,0,1901063,11,87,92,11,87,92,11,87,1901155,92,11
610,0,0,0,0,0,0,0,1909164,11,87,92,11,87,92,11,87,1909256,92,11
609,0,0,0,0,0,0,0,1917265,11,87,92,11,87,92,11,87,1917357,92,11
608,0,0,0,0,0,0,0,1925366,11,87,92,11,87,92,11,87,1925458,92,11
607,0,0,0,0,0,0,0,1933467,11,87,92,11,87,92,11,87,1933559,92,11
606,0,0,0,0,0,0,0,1941568,11,87,92,11,87,92,11,87,1941660,92,11
605,0,0,0,0,0,0,0,1949669,11,87,92,11,87,92,11,87,1949761,92,11
604,0,0,0,0,0,0,0,1957770,11,87,92,11,87,92,11,87,1957862,92,11
603,0,0,0,0,0,0,0,1965871,11,87,92,11,87,92,11,87,1965963,92,11
602,0,0,0,0,0,0,0,1973972,11,87,92,11,87,92,11,87,1974064,92,11
601,0,0,0,0,0,0,0,1982073,11,87,92,11,87,92,11,87,1982165,92,11
600,0,0,0,0,0,0,0,1990174,11,87,92,11,87,92,11,87,1990266,92,11
599,0,0,0,0,0,0,0,1998275,11,87,92,11,87,92,11,87,1998367,92,11
598,0,0,0,0,0,0,0,2006376,11,87,92,11,87,92,11,87,2006468,92,11
597,0,0,0,0,0,0,0,2014477,11,87,92,11,87,92,11,87,2014569,92,11
596,0,0,0,0,0,0,0,2022578,11,87,92,11,87,92,11,87,2022670,92,11
595,0,0,0,0,0,0,0,2030679,11,87,92,11,87,92,11,87,2030771,92,11
594,0,0,0,0,0,0,0,2038780,11,87,92,11,87,92,11,87,2038872,92,11
593,0,0,0,0,0,0,0,2046881,11,87,92,11,87,92,11,87,2046973,92,11
592,0,0,0,0,0,0,0,2054982,11,87,92,11,87,92,11,87,2055074,92,11
591,0,0,0,0,0,0,0,2063083,11,87,92,11,87,92,11,87,2063175,92,11
590,0,0,0,0,0,0,0,2071184,11,87,92,11,87,92,11,87,2071276,92,11
589,0,0,0,0,0,0,0,2079285,11,87,92,11,87,92,11,87,2079377,92,11
588,0,0,0,0,0,0,0,2087386,11,87,92,11,87,92,11,87,2087478,92,11
587,0,0,0,0,0,0,0,2095487,11,87,92,11,87,92,11,87,2095579,92,11
586,0,0,0,0,0,0,0,2103588,11,87,92,11,87,92,11,87,2103680,92,11
585,0,0,0,0,0,0,0,2111689,11,87,92,11,87,92,11,87,2111781,92,11
584,0,0,0,0,0,0,0,2119790,11,87,92,11,87,92,11,87,2119882,92,11
583,0,0,0,0,0,0,0,2127891,11,87,92,11,87,92,11,87,2127983,92,11
582,0,0,0,0,0,0,0,2135992,11,87,92,11,87,92,11,87,2136084,92,11
581,0,0,0,0,0,0,0,2144093,11,87,92,11,87,92,11,87,2144185,92,11
580,0,0,0,0,0,0,0,2152194,11,87,92,11,87,92,11,87,2152286,92,11
579,0,0,0,0,0,0,0,2160295,11,87,92,11,87,92,11,87,2160387,92,11
578,0,0,0,0,0,0,0,2168396,11,87,92,11,87,92,11,87,2168488,92,11
577,0,0,0,0,0,0,0,2176497,11,87,92,11,87,92,11,87,2176589,92,11
576,0,0,0,0,0,0,0,2184598,11,87,92,11,87,92,11,87,2184690,92,11
575,0,0,0,0,0,0,0,2192699,11,87,92,11,87,92,11,87,2192791,92,11
574,0,0,0,0,0,0,0,2200800,11,87,92,11,87,92,11,87,2200892,92,11
573,0,0,0,0,0,0,0,2208901,11,87,92,11,87,92,11,87,2208993,92,11
572,0,0,0,0,0,0,0,2217002,11,87,92,11,87,92,11,87,2217094,92,11
571,0,0,0,0,0,0,0,2225103,11,87,92,11,87,92,11,87,2225195,92,11
570,0,0,0,0,0,0,0,2233204,11,87,92,11,87,92,11,87,2233296,92,11
569,0,0,0,0,0,0,0,2241305,11,87,92,11,87,92,11,87,2241397,92,11
568,0,0,0,0,0,0,0,2249406,11,87,92,11,87,92,11,87,2249498,92,11
567,0,0,0,0,0,0,0,2257507,11,87,92,11,87,92,11,87,2257599,92,11
566,0,0,0,0,0,0,0,2265608,11,87,92,11,87,92,11,87,2265700,92,11
565,0,0,0,0,0,0,0,2273709,11,87,92,11,87,92,11,87,2273801,92,11
564,0,0,0,0,0,0,0,2281810,11,87,92,11,87,92,11,87,2281902,92,11
